timestamp,response,emotion0,value0,emotion1,value1
2013-04-01 06:52:21.704547+00,surprised,fear,0.8625697979936380,,
2013-04-01 06:52:35.38321+00,disgusted,surprise,0.4044016005005690,disgust,0.7282209906028580
2013-04-01 15:53:17.376504+00,angry,sadness,0.852502433466725,,
2013-04-01 15:53:28.479807+00,happiness,fear,0.9867412249557670,surprise,0.3638582224026320
2013-04-01 15:53:37.478794+00,disgust,sadness,0.9432357109850270,joy,0.4343094134703280
2013-04-02 02:23:06.145651+00,slightly happy,anger,0.3975528355455030,joy,0.8848660349613060
2013-04-02 17:36:18.975491+00,frustration,joy,0.3301786923781040,anger,0.9873367526568470
2013-04-02 17:48:55.122748+00,sad,anger,0.6151513054268430,fear,0.7114905447466300
2013-04-02 17:48:59.356574+00,surprised,surprise,0.8550747333560140,,
2013-04-02 17:49:05.781906+00,amused,sadness,0.5681362375617030,joy,0.8900454061804340
2013-04-02 17:49:11.194344+00,upset,anger,0.8901204260531810,sadness,0.7871056710602720
2013-04-02 17:49:15.358994+00,surprised,surprise,0.8619832316646350,,
2013-04-02 17:49:18.57599+00,happy,joy,0.503328014537692,,
2013-04-02 17:49:26.251914+00,smelled something funny,disgust,0.6258256123866890,,
2013-04-23 03:45:18.791646+00,Happy,joy,0.7584766169078650,,
2013-04-23 03:45:27.365048+00,Sad,sadness,0.6892204139847310,joy,0.469183608610183
2013-04-23 03:45:36.859735+00,Anger,anger,0.8062450145371260,joy,0.5531327451113610
2013-04-23 03:45:43.766421+00,Surprise,fear,0.631540315411985,,
2013-04-23 03:45:51.641607+00,Surprise,fear,0.9871372025692840,sadness,0.5752340818522500
2013-04-23 03:45:59.709439+00,Sad,sadness,0.7791663248557600,joy,0.3127465007128190
2013-04-23 03:46:10.273117+00,Surprise,surprise,0.8486739478539680,,
2013-04-23 03:46:17.375667+00,Sad,sadness,0.7024874386610460,,
2013-04-23 03:46:17.79939+00,dismay,disgust,0.9697898385114970,sadness,0.653682705713436
2013-04-23 03:46:26.949224+00,Worried,fear,0.9866031340323390,,
2013-04-23 03:46:28.472223+00,surprise,surprise,0.6467412866186350,,
2013-04-23 03:46:41.490735+00,frustration,anger,0.4819567585829650,,
2013-04-23 03:46:45.713369+00,contentment,joy,0.48362001623027000,,
2013-04-23 03:46:52.090916+00,anxious,sadness,0.9058256420696880,,
2013-04-23 03:46:55.802203+00,anger,anger,0.8068759308895100,,
2013-04-23 03:46:59.949022+00,angry,disgust,0.8016256650745970,joy,0.4073297294052320
2013-04-23 03:47:07.369011+00,excited,fear,0.7167859234083090,joy,0.936534292758805
2013-04-23 03:47:11.735403+00,not-happy surprise,surprise,0.45159853382501700,,
2013-04-23 03:47:12.506737+00,disappointment,anger,0.9724942720262330,fear,0.9541885952930900
2013-04-23 03:47:17.105208+00,sadness,sadness,0.9539990669349210,sadness,0.7811267358250920
2013-04-23 03:47:18.034583+00,mad,anger,0.9190431254865440,surprise,0.5175245753383020
2013-04-23 03:47:21.817222+00,surprise,surprise,0.6921315100975330,,
2013-04-23 03:47:22.305241+00,anger,anger,0.6299799895146860,disgust,0.8276472056750210
2013-04-23 03:47:26.224682+00,disgruntled,disgust,0.625010306481272,,
2013-04-23 03:47:27.532728+00,miffed,anger,0.7661489111656550,,
2013-04-23 03:47:31.098809+00,annoyed,anger,0.7034047575900330,,
2013-04-23 03:47:34.54485+00,surprised,surprise,0.7167933020507920,,
2013-04-23 03:47:35.439277+00,shocked,anger,0.839397184885752,surprise,0.8456061598867170
2013-04-23 03:47:36.647814+00,ha,joy,0.7481919110752640,fear,0.5555840672925110
2013-04-23 03:47:37.606854+00,contentment,joy,0.6367976695066320,,
2013-04-23 03:47:41.364121+00,happy surprise,surprise,0.7747419632505630,joy,0.8798407674301420
2013-04-23 03:47:45.380781+00,worried,sadness,0.6404659660050420,,
2013-04-23 03:47:45.955741+00,disappointment,anger,0.6235419643810020,fear,0.7398177608381960
2013-04-23 03:47:48.674537+00,oh no!!!,surprise,0.9734742760658260,disgust,0.7085138970054690
2013-04-23 03:47:50.553278+00,contentment,joy,0.4839816411025820,,
2013-04-23 03:47:52.733421+00,happy,joy,0.893055997300993,fear,0.36589880999602400
2013-04-23 03:47:54.673781+00,surprise,surprise,0.9417041009524840,,
2013-04-23 03:47:58.873051+00,Angry,disgust,0.717090140003711,,
2013-04-23 03:47:59.389655+00,sadness,fear,0.6707927464507520,,
2013-04-23 03:48:04.333193+00,dismay,sadness,0.9298429128713910,surprise,0.5935423638438810
2013-04-23 03:48:04.633699+00,shocked,anger,0.9340337129309770,,
2013-04-23 03:48:05.228681+00,aaaaargh! afraid!,fear,0.9890672650886700,fear,0.849580319970846
2013-04-23 03:48:09.81678+00,smile,joy,0.7060436596861110,,
2013-04-23 03:48:18.169709+00,happy,joy,0.9379823474911970,,
2013-04-23 03:48:23.932348+00,sad,sadness,0.7975738640176130,,
2013-04-23 03:48:27.047022+00,Don't know what to think,fear,0.9187946951715280,,
2013-04-23 03:48:31.489202+00,worried,fear,0.8833084055921060,,
2013-04-23 03:48:37.078944+00,aaaau,surprise,0.6881800619885330,surprise,0.5793178596533830
2013-04-23 03:48:37.847425+00,surprised,surprise,0.990227669221349,,
2013-04-23 04:24:13.747314+00,None,surprise,0.7543657246865710,surprise,0.32107980694391200
2013-04-23 04:24:44.372936+00,Surprise,surprise,0.9109699954745120,joy,0.4288363885659690
2013-04-23 04:24:59.494308+00,Pleased,joy,0.7458272480796420,,
2013-04-23 04:25:14.274997+00,Yell,joy,0.45155759491696000,surprise,0.6573993856118410
2013-04-23 04:25:24.494098+00,Confused,joy,0.9689461956058860,disgust,0.6407822865617290
2013-04-23 04:26:22.396882+00,Sorrow,sadness,0.37481472995132200,,
2013-04-23 04:27:46.519035+00,disgusted,sadness,0.4088365620933470,disgust,0.5756666515721010
2013-04-23 04:28:14.820843+00,angry,disgust,0.6312739986693490,anger,0.8976926948409530
2013-04-23 04:31:38.461879+00,angry,anger,0.7223707187920810,,
2013-04-23 04:31:56.193753+00,sadness,anger,0.35852957419119800,sadness,0.9499470066279170
2013-04-23 04:32:09.653622+00,neutral,joy,0.3438312224578110,fear,0.3005346456542610
2013-04-23 04:32:15.291895+00,unhappy,fear,0.3269846927374600,disgust,0.39367729555815500
2013-04-23 04:32:21.822859+00,happy,joy,0.5964023475069550,joy,0.5894639311823990
2013-04-23 04:32:32.617894+00,Devastated,sadness,0.9344979017041620,,
2013-04-23 04:33:14.856264+00,melencholy,disgust,0.4783586589852350,joy,0.8935932968975980
2013-04-23 04:33:34.563035+00,surprised,surprise,0.48437314617913200,,
2013-04-23 04:34:01.549451+00,Bored,disgust,0.3493554741609840,,
2013-04-23 04:34:45.899797+00,worried,disgust,0.5447789137356080,surprise,0.5046259468723480
2013-04-23 04:35:09.822595+00,angry,anger,0.5991209393871550,anger,0.9167217159609130
2013-04-23 04:35:30.225145+00,Shit still sucks,fear,0.43061239619273700,,
2013-04-23 04:35:56.360206+00,angry,anger,0.7639771093830990,,
2013-04-23 04:36:19.62262+00,Shocked,surprise,0.4401508252834900,,
2013-04-23 04:36:33.689763+00,worried,fear,0.5739161406717830,,
2013-04-23 04:36:45.97312+00,worried,fear,0.8501276687690250,,
2013-04-23 04:37:06.176663+00,angry,anger,0.8025316087083620,,
2013-04-23 04:37:19.184708+00,worried,anger,0.5038385292366770,fear,0.9262556099144160
2013-04-23 04:37:34.066669+00,shocked,surprise,0.7024709891795810,sadness,0.9749958557935820
2013-04-23 04:37:47.856008+00,surprised,surprise,0.5349330865760440,,
2013-04-23 04:38:09.337526+00,Happy,joy,0.5029476940631870,,
2013-04-23 04:38:37.929444+00,Sad,disgust,0.7544023189228030,,
2013-04-23 04:40:15.825534+00,shock,joy,0.6117682952200990,fear,0.6660362428287040
2013-04-23 04:40:59.880538+00,Angry,anger,0.6284199302550410,,
2013-04-23 04:24:20.385847+00,Upset,fear,0.8556763517464780,,
2013-04-23 04:24:47.902235+00,Surprise,surprise,0.6612247306217760,,
2013-04-23 04:24:59.938377+00,Concentrated,anger,0.502113121365479,,
2013-04-23 04:25:17.393512+00,Angry,anger,0.764140135022719,,
2013-04-23 04:25:25.433514+00,Upset,disgust,0.8978065457550980,joy,0.35096898747520200
2013-04-23 04:26:36.048231+00,Glee,joy,0.9781959844520320,,
2013-04-23 04:27:50.577801+00,surprised,surprise,0.8914794744225220,,
2013-04-23 04:31:06.164181+00,Surprise,fear,0.8868606350384650,,
2013-04-23 04:31:47.473033+00,horror,anger,0.8673395194113250,fear,0.9172011878807100
2013-04-23 04:31:58.286516+00,surprise,surprise,0.6101664905436340,fear,0.7703559961635620
2013-04-23 04:32:10.07404+00,thinking,joy,0.6264036930864680,,
2013-04-23 04:32:17.286955+00,neutral,joy,0.553202589508146,disgust,0.34330202559940500
2013-04-23 04:32:23.907436+00,Surprised,anger,0.4223374871537090,surprise,0.488944821502082
2013-04-23 04:32:36.939143+00,worried,fear,0.5462225167546420,disgust,0.5892132433829830
2013-04-23 04:33:19.74002+00,Unhappy. But of ,disgust,0.43439959827810500,sadness,0.38336457957048000
2013-04-23 04:33:44.387822+00,frightened,surprise,0.3257933944929390,surprise,0.9216535232961180
2013-04-23 04:34:02.226065+00,upset,fear,0.5325884762685750,,
2013-04-23 04:34:56.810168+00,heartbroken,sadness,0.5103390169545260,,
2013-04-23 04:35:21.042696+00,Bad thing is over and now shit sucks.,sadness,0.5579512388911100,joy,0.6269222622504460
